image_name,label
00001.png,1
00002.png,2
00003.png,4
00004.png,8
00005.png,2
00006.png,9
00007.png,2
00008.png,1
00009.png,6
00010.png,5
00011.png,6
00012.png,9
00013.png,9
00014.png,1
00015.png,8
00016.png,8
00017.png,7
00018.png,7
00019.png,1
00020.png,7
00021.png,4
00022.png,4
00023.png,3
00024.png,3
00025.png,5
00026.png,9
00027.png,1
00028.png,2
00029.png,5
00030.png,7
00031.png,1
00032.png,8
00033.png,4
00034.png,3
00035.png,4
00036.png,7
00037.png,2
00038.png,2
00039.png,4
00040.png,0
00041.png,5
00042.png,7
00043.png,2
00044.png,1
00045.png,5
00046.png,2
00047.png,9
00048.png,9
00049.png,9
00050.png,5
00051.png,1
00052.png,1
00053.png,1
00054.png,1
00055.png,3
00056.png,3
00057.png,7
00058.png,4
00059.png,7
00060.png,4
00061.png,4
00062.png,3
00063.png,5
00064.png,0
00065.png,5
00066.png,0
00067.png,1
00068.png,8
00069.png,6
00070.png,6
00071.png,1
00072.png,2
00073.png,0
00074.png,6
00075.png,1
00076.png,7
00077.png,9
00078.png,6
00079.png,8
00080.png,3
00081.png,0
00082.png,4
00083.png,0
00084.png,3
00085.png,8
00086.png,4
00087.png,9
00088.png,2
00089.png,7
00090.png,7
00091.png,9
00092.png,9
00093.png,8
00094.png,6
00095.png,3
00096.png,3
00097.png,3
00098.png,1
00099.png,0
00100.png,6
00101.png,8
00102.png,9
00103.png,7
00104.png,2
00105.png,3
00106.png,2
00107.png,9
00108.png,6
00109.png,0
00110.png,0
00111.png,4
00112.png,8
00113.png,0
00114.png,4
00115.png,4
00116.png,2
00117.png,5
00118.png,1
00119.png,5
00120.png,9
00121.png,8
00122.png,3
00123.png,7
00124.png,0
00125.png,6
00126.png,6
00127.png,6
00128.png,2
00129.png,4
00130.png,1
00131.png,2
00132.png,3
00133.png,5
00134.png,7
00135.png,9
00136.png,2
00137.png,0
00138.png,6
00139.png,0
00140.png,2
00141.png,3
00142.png,6
00143.png,3
00144.png,8
00145.png,3
00146.png,1
00147.png,5
00148.png,7
00149.png,3
00150.png,5
00151.png,7
00152.png,1
00153.png,7
00154.png,1
00155.png,2
00156.png,3
00157.png,4
00158.png,8
00159.png,9
00160.png,0
00161.png,8
00162.png,1
00163.png,8
00164.png,6
00165.png,2
00166.png,0
00167.png,0
00168.png,2
00169.png,9
00170.png,2
00171.png,6
00172.png,7
00173.png,6
00174.png,9
00175.png,6
00176.png,7
00177.png,1
00178.png,0
00179.png,6
00180.png,5
00181.png,1
00182.png,2
00183.png,8
00184.png,7
00185.png,6
00186.png,6
00187.png,9
00188.png,4
00189.png,5
00190.png,3
00191.png,0
00192.png,9
00193.png,4
00194.png,7
00195.png,4
00196.png,9
00197.png,3
00198.png,8
00199.png,5
00200.png,3
00201.png,0
00202.png,6
00203.png,9
00204.png,2
00205.png,6
00206.png,4
00207.png,2
00208.png,5
00209.png,7
00210.png,5
00211.png,1
00212.png,3
00213.png,3
00214.png,6
00215.png,4
00216.png,6
00217.png,7
00218.png,7
00219.png,7
00220.png,4
00221.png,8
00222.png,2
00223.png,9
00224.png,7
00225.png,6
00226.png,0
00227.png,0
00228.png,1
00229.png,2
00230.png,6
00231.png,5
00232.png,5
00233.png,5
00234.png,5
00235.png,3
00236.png,9
00237.png,0
00238.png,9
00239.png,9
00240.png,3
00241.png,6
00242.png,9
00243.png,9
00244.png,1
00245.png,0
00246.png,8
00247.png,0
00248.png,3
00249.png,6
00250.png,5
00251.png,5
00252.png,6
00253.png,4
00254.png,4
00255.png,7
00256.png,5
00257.png,3
00258.png,5
00259.png,3
00260.png,9
00261.png,5
00262.png,3
00263.png,8
00264.png,1
00265.png,9
00266.png,8
00267.png,2
00268.png,6
00269.png,5
00270.png,3
00271.png,3
00272.png,4
00273.png,8
00274.png,5
00275.png,8
00276.png,3
00277.png,5
00278.png,8
00279.png,0
00280.png,2
00281.png,8
00282.png,8
00283.png,7
00284.png,4
00285.png,1
00286.png,5
00287.png,3
00288.png,9
00289.png,0
00290.png,4
00291.png,8
00292.png,5
00293.png,2
00294.png,0
00295.png,0
00296.png,5
00297.png,2
00298.png,5
00299.png,5
00300.png,3
00301.png,4
00302.png,9
00303.png,1
00304.png,3
00305.png,5
00306.png,0
00307.png,1
00308.png,5
00309.png,3
00310.png,0
00311.png,1
00312.png,2
00313.png,5
00314.png,9
00315.png,6
00316.png,8
00317.png,4
00318.png,4
00319.png,7
00320.png,4
00321.png,3
00322.png,1
00323.png,9
00324.png,3
00325.png,3
00326.png,8
00327.png,2
00328.png,1
00329.png,3
00330.png,2
00331.png,9
00332.png,0
00333.png,2
00334.png,5
00335.png,6
00336.png,6
00337.png,9
00338.png,1
00339.png,1
00340.png,4
00341.png,5
00342.png,5
00343.png,3
00344.png,4
00345.png,0
00346.png,7
00347.png,3
