image_name,label
00001.png,6
00002.png,1
00003.png,9
00004.png,8
00005.png,1
00006.png,3
00007.png,1
00008.png,7
00009.png,8
00010.png,6
00011.png,7
00012.png,5
00013.png,9
00014.png,3
00015.png,3
00016.png,5
00017.png,8
00018.png,4
00019.png,5
00020.png,8
00021.png,9
00022.png,2
00023.png,6
00024.png,6
00025.png,0
00026.png,0
00027.png,5
00028.png,1
00029.png,4
00030.png,9
00031.png,9
00032.png,6
00033.png,0
00034.png,1
00035.png,2
00036.png,6
00037.png,8
00038.png,0
00039.png,5
00040.png,4
00041.png,0
00042.png,3
00043.png,2
00044.png,4
00045.png,9
00046.png,2
00047.png,1
00048.png,5
00049.png,4
00050.png,2
00051.png,8
00052.png,4
00053.png,3
00054.png,7
00055.png,0
00056.png,1
00057.png,2
00058.png,5
00059.png,5
00060.png,1
00061.png,1
00062.png,1
00063.png,1
00064.png,0
00065.png,4
00066.png,2
00067.png,3
00068.png,3
00069.png,1
00070.png,4
00071.png,0
00072.png,1
00073.png,3
00074.png,3
00075.png,0
00076.png,9
00077.png,8
00078.png,1
00079.png,2
00080.png,1
00081.png,9
00082.png,3
00083.png,4
00084.png,7
00085.png,4
00086.png,8
00087.png,3
00088.png,5
00089.png,4
00090.png,8
00091.png,8
00092.png,6
00093.png,1
00094.png,2
00095.png,5
00096.png,8
00097.png,7
00098.png,2
00099.png,8
00100.png,7
00101.png,1
00102.png,2
00103.png,5
00104.png,6
00105.png,9
00106.png,8
00107.png,6
00108.png,8
00109.png,7
00110.png,2
00111.png,2
00112.png,9
00113.png,7
00114.png,9
00115.png,0
00116.png,1
00117.png,7
00118.png,4
00119.png,6
00120.png,6
00121.png,0
00122.png,3
00123.png,8
00124.png,8
00125.png,5
00126.png,6
00127.png,8
00128.png,5
00129.png,5
00130.png,0
00131.png,0
00132.png,4
00133.png,4
00134.png,7
00135.png,6
00136.png,3
00137.png,6
00138.png,3
00139.png,4
00140.png,8
00141.png,2
00142.png,3
00143.png,3
00144.png,5
00145.png,4
00146.png,8
00147.png,7
00148.png,7
00149.png,1
00150.png,5
00151.png,0
00152.png,6
00153.png,3
00154.png,8
00155.png,0
00156.png,8
00157.png,7
00158.png,4
00159.png,6
00160.png,7
00161.png,0
00162.png,3
00163.png,1
00164.png,3
00165.png,6
00166.png,1
00167.png,3
00168.png,2
00169.png,3
00170.png,4
00171.png,4
00172.png,3
00173.png,6
00174.png,6
00175.png,9
00176.png,3
00177.png,9
00178.png,0
00179.png,9
00180.png,8
00181.png,4
00182.png,4
00183.png,7
00184.png,4
00185.png,6
00186.png,6
00187.png,1
00188.png,3
00189.png,1
00190.png,4
00191.png,1
00192.png,3
00193.png,1
00194.png,4
00195.png,1
00196.png,1
00197.png,4
00198.png,1
00199.png,2
00200.png,7
00201.png,1
00202.png,9
00203.png,4
00204.png,7
00205.png,4
00206.png,6
00207.png,8
00208.png,3
00209.png,0
00210.png,9
00211.png,1
00212.png,3
00213.png,6
00214.png,1
00215.png,9
00216.png,0
00217.png,2
00218.png,4
00219.png,7
00220.png,6
00221.png,7
00222.png,8
00223.png,5
00224.png,9
00225.png,2
00226.png,2
00227.png,3
00228.png,4
00229.png,2
00230.png,1
00231.png,8
00232.png,3
00233.png,0
00234.png,2
00235.png,4
00236.png,7
00237.png,1
00238.png,2
00239.png,1
00240.png,8
00241.png,3
00242.png,1
00243.png,1
00244.png,2
00245.png,3
00246.png,9
00247.png,0
00248.png,2
00249.png,7
00250.png,3
00251.png,7
00252.png,3
00253.png,2
00254.png,9
00255.png,9
00256.png,1
00257.png,7
00258.png,7
00259.png,4
00260.png,3
00261.png,9
00262.png,1
00263.png,6
00264.png,3
00265.png,2
00266.png,9
00267.png,9
00268.png,7
00269.png,7
00270.png,1
00271.png,0
00272.png,2
00273.png,1
00274.png,1
00275.png,6
00276.png,3
00277.png,0
00278.png,3
00279.png,7
00280.png,4
00281.png,5
00282.png,9
00283.png,4
00284.png,4
00285.png,0
00286.png,8
00287.png,4
00288.png,7
00289.png,3
00290.png,5
00291.png,1
00292.png,7
00293.png,6
00294.png,8
00295.png,9
00296.png,7
00297.png,8
00298.png,2
00299.png,0
00300.png,5
00301.png,9
00302.png,2
00303.png,6
00304.png,9
00305.png,6
00306.png,0
00307.png,4
00308.png,1
00309.png,6
00310.png,1
00311.png,2
00312.png,8
00313.png,2
00314.png,4
00315.png,7
00316.png,3
00317.png,7
00318.png,3
00319.png,7
00320.png,5
00321.png,4
00322.png,6
00323.png,8
00324.png,5
00325.png,6
00326.png,5
00327.png,8
00328.png,3
00329.png,9
00330.png,8
00331.png,8
00332.png,6
00333.png,6
00334.png,5
00335.png,9
00336.png,3
00337.png,2
00338.png,4
00339.png,2
00340.png,7
00341.png,3
00342.png,0
00343.png,5
00344.png,5
00345.png,4
00346.png,3
00347.png,7
00348.png,2
00349.png,2
00350.png,4
00351.png,6
00352.png,8
00353.png,9
00354.png,8
00355.png,8
00356.png,1
00357.png,4
00358.png,5
00359.png,9
00360.png,9
00361.png,0
00362.png,5
00363.png,6
00364.png,6
00365.png,3
00366.png,3
00367.png,1
00368.png,5
00369.png,1
00370.png,9
00371.png,1
00372.png,1
00373.png,3
00374.png,6
00375.png,3
00376.png,7
00377.png,6
00378.png,4
00379.png,0
00380.png,4
00381.png,2
00382.png,2
00383.png,9
00384.png,1
